n,num_bits,num_samples,learning_rate,hidden_dim,layers_num,num_samples_test,batch_size,epochs,test_loss
10,8,500,0.001,32,2,1000,32,100,0.12580181658267975
10,8,500,0.001,32,2,1000,64,100,0.11847210675477982
10,8,500,0.001,32,3,1000,32,100,0.14377658069133759
10,8,500,0.001,32,3,1000,64,100,0.13001297414302826
10,8,500,0.001,32,4,1000,32,100,0.15013162791728973
10,8,500,0.001,32,4,1000,64,100,0.12953411042690277
10,8,500,0.001,64,2,1000,32,100,0.14601382613182068
10,8,500,0.001,64,2,1000,64,100,0.13704712688922882
10,8,500,0.001,64,3,1000,32,100,0.17213350534439087
10,8,500,0.001,64,3,1000,64,100,0.1544569730758667
10,8,500,0.001,64,4,1000,32,100,0.18673741817474365
10,8,500,0.001,64,4,1000,64,100,0.16567951440811157
10,8,500,0.005,8,2,1000,32,100,0.12118404358625412
10,8,500,0.005,8,2,1000,64,100,0.11857187747955322
10,8,500,0.005,8,3,1000,32,100,0.12064976990222931
10,8,500,0.005,8,3,1000,64,100,0.11923648416996002
10,8,500,0.005,8,4,1000,32,100,0.1250596046447754
10,8,500,0.005,8,4,1000,64,100,0.12399790436029434
10,8,500,0.005,16,2,1000,32,100,0.13892056047916412
10,8,500,0.005,16,2,1000,64,100,0.1383468210697174
10,8,500,0.005,16,3,1000,32,100,0.15310463309288025
10,8,500,0.005,16,3,1000,64,100,0.14247891306877136
10,8,500,0.005,16,4,1000,32,100,0.14979365468025208
10,8,500,0.005,16,4,1000,64,100,0.1486118584871292
10,8,500,0.005,32,2,1000,32,100,0.17796801030635834
10,8,500,0.005,32,2,1000,64,100,0.17281509935855865
10,8,500,0.005,32,3,1000,32,100,0.1892668902873993
10,8,500,0.005,32,3,1000,64,100,0.18513430655002594
10,8,500,0.005,32,4,1000,32,100,0.18974106013774872
10,8,500,0.005,32,4,1000,64,100,0.18246661126613617
10,8,500,0.005,64,2,1000,32,100,0.18476425111293793
10,8,500,0.005,64,2,1000,64,100,0.17848564684391022
10,8,500,0.005,64,3,1000,32,100,0.1817573606967926
10,8,500,0.005,64,3,1000,64,100,0.18253877758979797
10,8,500,0.005,64,4,1000,32,100,0.1939266175031662
10,8,500,0.005,64,4,1000,64,100,0.18737982213497162
10,16,500,0.001,8,2,1000,32,100,0.1198064312338829
10,16,500,0.001,8,2,1000,64,100,0.11804883927106857
10,16,500,0.001,8,3,1000,32,100,0.11806470155715942
10,16,500,0.001,8,3,1000,64,100,0.11908325552940369
10,16,500,0.001,8,4,1000,32,100,0.11937596648931503
10,16,500,0.001,8,4,1000,64,100,0.11613772809505463
10,16,500,0.001,16,2,1000,32,100,0.12234380841255188
10,16,500,0.001,16,2,1000,64,100,0.12034781277179718
10,16,500,0.001,16,3,1000,32,100,0.12360294163227081
10,16,500,0.001,16,3,1000,64,100,0.12202008813619614
10,16,500,0.001,16,4,1000,32,100,0.12435176968574524
10,16,500,0.001,16,4,1000,64,100,0.1237173080444336
10,16,500,0.001,32,2,1000,32,100,0.13143527507781982
10,16,500,0.001,32,2,1000,64,100,0.12696295976638794
10,16,500,0.001,32,3,1000,32,100,0.13733135163784027
10,16,500,0.001,32,3,1000,64,100,0.13112571835517883
10,16,500,0.001,32,4,1000,32,100,0.1403593271970749
10,16,500,0.001,32,4,1000,64,100,0.13498719036579132
10,16,500,0.001,64,2,1000,32,100,0.14806991815567017
10,16,500,0.001,64,2,1000,64,100,0.1395408809185028
10,16,500,0.001,64,3,1000,32,100,0.16573472321033478
10,16,500,0.001,64,3,1000,64,100,0.15138012170791626
10,16,500,0.001,64,4,1000,32,100,0.17402563989162445
10,16,500,0.001,64,4,1000,64,100,0.1669713258743286
10,16,500,0.005,8,2,1000,32,100,0.12608423829078674
10,16,500,0.005,8,2,1000,64,100,0.12511901557445526
10,16,500,0.005,8,3,1000,32,100,0.12656676769256592
10,16,500,0.005,8,3,1000,64,100,0.12321927398443222
10,16,500,0.005,8,4,1000,32,100,0.12878483533859253
10,16,500,0.005,8,4,1000,64,100,0.12812291085720062
10,16,500,0.005,16,2,1000,32,100,0.1389705240726471
10,16,500,0.005,16,2,1000,64,100,0.1366501748561859
10,16,500,0.005,16,3,1000,32,100,0.1480308324098587
10,16,500,0.005,16,3,1000,64,100,0.13985581696033478
10,16,500,0.005,16,4,1000,32,100,0.14922404289245605
10,16,500,0.005,16,4,1000,64,100,0.14520452916622162
10,16,500,0.005,32,2,1000,32,100,0.17862483859062195
10,16,500,0.005,32,2,1000,64,100,0.15941660106182098
10,16,500,0.005,32,3,1000,32,100,0.1959829479455948
10,16,500,0.005,32,3,1000,64,100,0.18001744151115417
10,16,500,0.005,32,4,1000,32,100,0.19323083758354187
10,16,500,0.005,32,4,1000,64,100,0.18490362167358398
10,16,500,0.005,64,2,1000,32,100,0.20268234610557556
